param_name,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s,avg_power_kw_per_phase__upstream,avg_batch__Llama-3.1-405B,n_batch_changes__Llama-3.1-405B,itl_violation_frac__Llama-3.1-405B,avg_throughput_tokens_per_s__Llama-3.1-405B,avg_batch__Llama-3.1-70B,n_batch_changes__Llama-3.1-70B,itl_violation_frac__Llama-3.1-70B,avg_throughput_tokens_per_s__Llama-3.1-70B,avg_batch__Llama-3.1-8B,n_batch_changes__Llama-3.1-8B,itl_violation_frac__Llama-3.1-8B,avg_throughput_tokens_per_s__Llama-3.1-8B,avg_power_kw_per_phase__downstream,avg_batch__Qwen3-235B-A22B,n_batch_changes__Qwen3-235B-A22B,itl_violation_frac__Qwen3-235B-A22B,avg_throughput_tokens_per_s__Qwen3-235B-A22B,avg_batch__Qwen3-30B-A3B,n_batch_changes__Qwen3-30B-A3B,itl_violation_frac__Qwen3-30B-A3B,avg_throughput_tokens_per_s__Qwen3-30B-A3B,param_value__upstream,param_value__downstream
voltage_dual_step_size,15.999999999985448,0.010264115853574141,0.9489448359979924,1.0507424426329046,13.880461900000228,545.623466581056,167.80266666666665,78,0.19088888888888889,179316.38165285488,278.43733333333336,7,0.041527777777777775,628828.3142075078,497.3404444444445,4,0.0,7479792.242551156,471.725103839421,169.71422222222222,10,0.0,887975.4828316085,297.56266666666664,13,0.0,3000167.249233133,40.0,100.0
voltage_dual_step_size,33.099999999969896,0.04306519474955251,0.9474444039042874,1.0504924314988606,13.85461999999825,532.7121416714125,141.96044444444445,14,0.1319722222222222,177181.24592013305,260.97555555555556,9,0.03727777777777778,662335.4521238018,386.5493333333333,14,0.0,6044742.920939494,482.11780804806267,161.41955555555555,12,0.0,843453.4614809821,347.43822222222224,14,0.0,3446736.814644519,100.0,4.0
voltage_dual_step_size,18.099999999983538,0.023321724588081925,0.9474444039042874,1.0505123986396576,14.364450599998236,531.0331375093947,128.51066666666668,11,0.11277777777777778,145888.53832591197,254.40488888888888,6,0.03727777777777778,626861.3906129675,368.2182222222222,11,0.0,6035739.64283329,481.80129609108883,157.44044444444444,6,0.0,825582.9831706168,388.22044444444447,13,0.0,3857151.7594535165,100.0,10.0
voltage_dual_step_size,17.599999999983993,0.01768001297763326,0.9484688447371746,1.0508473814438668,13.502893600001698,529.5902630536785,128.33377777777778,12,0.11452777777777778,144442.40923816845,255.46488888888888,7,0.03744444444444445,628358.609081197,351.2271111111111,11,0.0,5864356.184321674,485.2350506731338,153.31555555555556,11,0.0,801688.531764101,424.77155555555555,8,0.0,4115640.5138896992,100.0,20.0
voltage_dual_step_size,10.49999999999045,0.0066878249500637605,0.9488137119424916,1.0505019694053552,13.523333199998888,536.9748859011625,127.09066666666666,9,0.11277777777777778,142987.535356601,253.74044444444445,6,0.03727777777777778,621648.0551303272,401.5048888888889,11,0.0,6818679.977381092,475.98927626775554,157.90666666666667,9,0.0,828415.1110570295,325.3911111111111,11,0.0,3312712.3352968963,100.0,40.0
voltage_dual_step_size,9.699999999991178,0.0064835241559633265,0.9488137119424916,1.0504924314988606,14.094474400000763,539.8790099793621,127.19422222222222,8,0.11277777777777778,143562.81518744637,253.62977777777778,5,0.03727777777777778,620941.4349472511,481.41155555555554,6,0.0,7403492.284932545,474.05912281609585,208.43155555555555,6,0.0,1083349.2561940034,335.62044444444444,11,0.0,3271123.9023056636,100.0,100.0
latency_dual_step_size,24.899999999977354,0.02553877821043494,0.9476849329656579,1.0508148581296723,13.944424400004209,546.4801501058913,160.59555555555556,10,0.17441666666666666,162282.14639233166,276.69955555555555,10,0.03994444444444444,652468.0810242449,472.06044444444444,5,0.0,7388248.772613908,475.45702812437173,155.91333333333333,10,0.0,818186.939442922,343.1808888888889,11,0.0,3398461.481027421,0.1,0.1
latency_dual_step_size,24.899999999977354,0.02553877821043494,0.9476849329656579,1.0508148581296723,14.322983400001249,546.4801501058913,160.59555555555556,10,0.17441666666666666,162282.14639233166,276.69955555555555,10,0.03994444444444444,652468.0810242449,472.06044444444444,5,0.0,7388248.772613908,475.45702812437173,155.91333333333333,10,0.0,818186.939442922,343.1808888888889,11,0.0,3398461.481027421,0.1,1.0
latency_dual_step_size,24.899999999977354,0.02553877821043494,0.9476849329656579,1.0508148581296723,14.913431599998148,546.4801501058913,160.59555555555556,10,0.17441666666666666,162282.14639233166,276.69955555555555,10,0.03994444444444444,652468.0810242449,472.06044444444444,5,0.0,7388248.772613908,475.45702812437173,155.91333333333333,10,0.0,818186.939442922,343.1808888888889,11,0.0,3398461.481027421,0.1,10.0
latency_dual_step_size,24.899999999977354,0.02553877821043494,0.9476849329656579,1.0508148581296723,14.165775200002827,546.4801501058913,160.59555555555556,10,0.17441666666666666,162282.14639233166,276.69955555555555,10,0.03994444444444444,652468.0810242449,472.06044444444444,5,0.0,7388248.772613908,475.45702812437173,155.91333333333333,10,0.0,818186.939442922,343.1808888888889,11,0.0,3398461.481027421,0.1,50.0
